"log(2pt[t]/2pt[t1]) where t1==t-1","t","t1","[min]","[mean]","[max]","[a*sin(t)+b*t*t@a=-0.0525279,b=-0.00117764]","[error]"
"log(2pt[01]/2pt[00])",1.0,0.0,-0.269,-0.224,-0.188,-0.0453783710319,4.41041059181
"log(2pt[02]/2pt[01])",2.0,1.0,-0.341,-0.29,-0.241,-0.0524740868314,4.75051826337
"log(2pt[03]/2pt[02])",3.0,2.0,-0.094,-0.057,-0.006,-0.0180115416874,0.886101325286
"log(2pt[04]/2pt[03])",4.0,3.0,-0.4,-0.35,-0.29,0.0209109548744,6.74383554317
"log(2pt[05]/2pt[04])",5.0,4.0,-0.23,-0.16,-0.11,0.0209291927821,3.01548654637
"log(2pt[06]/2pt[05])",6.0,5.0,-0.13,-0.09,-0.03,-0.0277180838269,1.24563832346
"log(2pt[07]/2pt[06])",7.0,6.0,-0.3,-0.25,-0.19,-0.0922147229819,2.86882321851
"log(2pt[08]/2pt[07])",8.0,7.0,-0.286,-0.236,-0.194,-0.127338183662,2.36221339866
"log(2pt[09]/2pt[08])",9.0,8.0,-0.179,-0.139,-0.091,-0.117036931454,0.499160648765
"log(2pt[10]/2pt[09])",10.0,9.0,-0.295,-0.249,-0.206,-0.089188145271,3.59127763436
"log(2pt[11]/2pt[10])",11.0,10.0,-0.34,-0.3,-0.24,-0.0899675676164,4.20064864767
"log(2pt[12]/2pt[11])",12.0,11.0,-0.111,-0.067,-0.033,-0.141395739881,-1.90758307387
"log(2pt[13]/2pt[12])",13.0,12.0,-0.27,-0.22,-0.17,-0.221092418138,-0.0218483627672
"log(2pt[14]/2pt[13])",14.0,13.0,-0.21,-0.15,-0.11,-0.282852866201,-2.65705732403
"log(2pt[15]/2pt[14])",15.0,14.0,-0.287,-0.255,-0.199,-0.299128276986,-1.00291538605
