"3pt[t1][t2]/2pt[t1]/2pt[t2] where t1==t2","t1","t2","[min]","[mean]","[max]","[a*t1*t1+b*t1+c@a=-0.000316959,c=0.952276,b=0.0037323]","[error]"
"3pt[00][00]/2pt[00]/2pt[00]",0.0,0.0,0.83,0.91,1.04,0.952276021588,0.402628777033
"3pt[01][01]/2pt[01]/2pt[01]",1.0,1.0,0.86,0.96,1.05,0.955691359209,-0.0453541135915
"3pt[02][02]/2pt[02]/2pt[02]",2.0,2.0,0.88,0.97,1.04,0.958472779039,-0.144090262009
"3pt[03][03]/2pt[03]/2pt[03]",3.0,3.0,1.14,1.27,1.43,0.96062028108,-2.13365323393
"3pt[04][04]/2pt[04]/2pt[04]",4.0,4.0,1.02,1.11,1.25,0.962133865331,-1.28579247539
"3pt[05][05]/2pt[05]/2pt[05]",5.0,5.0,0.71,0.78,0.85,0.963013531791,2.61447902559
"3pt[06][06]/2pt[06]/2pt[06]",6.0,6.0,0.94,1.06,1.18,0.963259280462,-0.806172662815
"3pt[07][07]/2pt[07]/2pt[07]",7.0,7.0,0.8,0.89,0.98,0.962871111343,0.809679014924
"3pt[08][08]/2pt[08]/2pt[08]",8.0,8.0,0.78,0.88,0.98,0.961849024434,0.818490244342
"3pt[09][09]/2pt[09]/2pt[09]",9.0,9.0,0.87,0.97,1.1,0.960193019735,-0.0852780892572
"3pt[10][10]/2pt[10]/2pt[10]",10.0,10.0,0.9,1.01,1.1,0.957903097247,-0.520969027533
"3pt[11][11]/2pt[11]/2pt[11]",11.0,11.0,0.89,0.99,1.11,0.954979256968,-0.318370391199
"3pt[12][12]/2pt[12]/2pt[12]",12.0,12.0,0.82,0.93,1.06,0.9514214989,0.17851249083
"3pt[13][13]/2pt[13]/2pt[13]",13.0,13.0,0.83,0.91,0.99,0.947229823041,0.465372788015
"3pt[14][14]/2pt[14]/2pt[14]",14.0,14.0,0.87,0.96,1.05,0.942404229393,-0.195508562301
"3pt[15][15]/2pt[15]/2pt[15]",15.0,15.0,0.86,0.96,1.08,0.936944717955,-0.209593473139
