"(-1)*log(2pt[t1]/2pt[t2]) where t1==t2+1","t1","t2","[min]","[mean]","[max]","[a*t1+b@a=-0.00448005,b=0.229873]","[error]"
"(-1)*log(2pt[01]/2pt[00])",1.0,0.0,0.189,0.235,0.28,0.225393192002,-0.211138637314
"(-1)*log(2pt[02]/2pt[01])",2.0,1.0,0.28,0.34,0.38,0.220913139643,-2.38173720713
"(-1)*log(2pt[03]/2pt[02])",3.0,2.0,0.05,0.1,0.16,0.216433087284,2.11696522335
"(-1)*log(2pt[04]/2pt[03])",4.0,3.0,0.01,0.06,0.12,0.211953034926,2.76278245319
"(-1)*log(2pt[05]/2pt[04])",5.0,4.0,0.21,0.26,0.31,0.207472982567,-1.05054034867
"(-1)*log(2pt[06]/2pt[05])",6.0,5.0,0.22,0.27,0.33,0.202992930208,-1.21831035986
"(-1)*log(2pt[07]/2pt[06])",7.0,6.0,0.11,0.17,0.24,0.198512877849,0.438659659215
"(-1)*log(2pt[08]/2pt[07])",8.0,7.0,0.15,0.2,0.25,0.19403282549,-0.119343490197
"(-1)*log(2pt[09]/2pt[08])",9.0,8.0,0.15,0.22,0.27,0.189552773131,-0.507453781146
"(-1)*log(2pt[10]/2pt[09])",10.0,9.0,0.03,0.08,0.13,0.185072720772,2.10145441545
"(-1)*log(2pt[11]/2pt[10])",11.0,10.0,0.174,0.219,0.272,0.180592668414,-0.783823093602
"(-1)*log(2pt[12]/2pt[11])",12.0,11.0,0.152,0.196,0.251,0.176112616055,-0.401765332229
"(-1)*log(2pt[13]/2pt[12])",13.0,12.0,0.24,0.32,0.37,0.171632563696,-2.28257594314
"(-1)*log(2pt[14]/2pt[13])",14.0,13.0,0.01,0.06,0.11,0.167152511337,2.14305022674
"(-1)*log(2pt[15]/2pt[14])",15.0,14.0,0.158,0.206,0.248,0.162672458978,-0.962834244932
